-1.9704,1,-0.12985,-0.0122,-0.024811,-0.089969,-0.075505,-0.082591
-1.9766,1,-0.28831,-0.15195,-0.13063,-0.24387,-0.10664,-0.24364
-2.0004,1,-0.44312,-0.31781,-0.28509,-0.35673,-0.24442,-0.25896
-2.0075,1,-0.55708,-0.48085,-0.30412,-0.36078,-0.35665,-0.43674
-2.0301,1,-0.70547,-0.5991,-0.38514,-0.50834,-0.43608,-0.4945
-2.0453,1,-0.86112,-0.77562,-0.5258,-0.64458,-0.55125,-0.59292
-2.0529,1,-1.044,-0.92312,-0.5656,-0.83874,-0.56548,-0.64686
-2.0613,1,-1.1463,-1.0074,-0.71814,-0.94697,-0.57286,-0.7375
-2.0689,1,-1.2421,-1.1611,-0.82036,-1.0222,-0.63703,-0.85839
-2.0808,1,-1.3686,-1.1635,-1.0128,-1.0451,-0.65437,-0.89916
-2.1044,1,-1.5488,-1.3111,-1.1457,-1.1092,-0.82706,-0.95491
-2.1141,1,-1.7275,-1.3804,-1.2469,-1.1534,-0.88406,-0.97417
-2.126,1,-1.7493,-1.5135,-1.3072,-1.3138,-1.0779,-1.0254
-2.1449,1,-1.8493,-1.6176,-1.3262,-1.3918,-1.1544,-1.0535
-2.1564,1,-1.8882,-1.7022,-1.4896,-1.5438,-1.1771,-1.2477
-2.1756,1,-1.9902,-1.8686,-1.4939,-1.6013,-1.277,-1.3535
-2.1918,1,-2.1783,-1.9322,-1.6854,-1.787,-1.3727,-1.5342
-2.18,1,-2.2147,-1.9687,-1.7409,-1.957,-1.4408,-1.6304
-2.208,1,-2.2085,-2.0167,-1.7405,-1.9081,-1.5012,-1.5589
-2.2151,1,-2.4074,-2.1871,-1.895,-2.0336,-1.5338,-1.6694
-2.2435,1,-3.0006,-2.5957,-2.3521,-1.747,-1.5744,-1.5639
-2.2954,1,-3.7515,-3.7776,-2.8882,-1.6076,-1.1465,-1.5161
-2.3171,1,-3.8964,-3.9527,-2.9692,-1.7323,-1.2053,-1.5448
-2.3263,1,-4.1941,-4.1121,-2.7572,-1.9055,-1.3366,-1.5994
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
